date,duration,T,Wind,P,Rh,Precipitations,Cₐ,e,eₛ,VPD,ρ,λ,γ,ε,Δ,clearness,Ri_SW_f,Ri_PAR_f,Ri_NIR_f,Ri_TIR_f,Ri_custom_f,Ri_SW_f_direct,Ri_SW_f_diffuse
2025-11-07T12:00:00.0,1 hour,17.0,0.46,100.42999999999999,0.63,0.0,400.0,1.2252729200663015,1.9448776508988912,0.7196047308325897,1.2057862450059325,2.460795e6,0.06646715463931091,0.5676109689965114,0.1235983186395706,Inf,397.0,190.56,206.44,Inf,Inf,254.0,143.0
2025-11-07T13:00:00.0,1 hour,17.1,0.84,100.42999999999999,0.63,0.1,400.0,1.2330596141405945,1.9572374827628483,0.7241778686222538,1.2053708147750948,2.4605585e6,0.0664735432222575,0.568096919783835,0.1242871311435656,Inf,351.0,168.48,182.52,Inf,Inf,232.0,119.0
2025-11-07T14:00:00.0,1 hour,17.0,1.1,100.4,0.64,0.0,400.0,1.2447216965752903,1.9448776508988912,0.7001559543236009,1.2054260579368279,2.460795e6,0.0664472998684339,0.5688893979911255,0.1235983186395706,Inf,288.0,138.24,149.76,Inf,Inf,187.0,101.0
2025-11-07T15:00:00.0,1 hour,16.7,1.37,100.41,0.66,0.0,400.0,1.259417410788657,1.9082081981646317,0.6487907873759746,1.206793882363536,2.4615045e6,0.06643476355756255,0.5699283050136731,0.12155133661204909,Inf,220.0,105.6,114.4,Inf,Inf,143.0,77.0
2025-11-07T16:00:00.0,1 hour,15.2,1.83,100.42999999999999,0.75,0.0,400.0,1.3003610469471634,1.7338147292628845,0.4334536823157211,1.2133132616211941,2.465052e6,0.06635236976771405,0.5729635934800674,0.1117437058403481,Inf,94.0,45.12,48.88,Inf,Inf,52.0,42.0
2025-11-07T17:00:00.0,1 hour,12.9,1.25,100.44,0.85,0.0,400.0,1.2695337982689425,1.49356917443405,0.2240353761651075,1.2231907536485638,2.4704915e6,0.06621286815772348,0.5716567801593386,0.09801744390003586,Inf,5.0,2.4,2.6,Inf,Inf,1.0,4.0
2025-11-07T18:00:00.0,1 hour,13.1,0.88,100.52000000000001,0.83,0.0,400.0,1.255980233199179,1.513229196625517,0.25724896342633796,1.2233097076778114,2.4700185e6,0.06627829603840783,0.570723916432577,0.09915089329278093,Inf,0.0,0.0,0.0,Inf,Inf,0.0,0.0
2025-11-07T19:00:00.0,1 hour,12.4,1.3,100.57000000000001,0.86,0.0,400.0,1.2430429653005453,1.445398796861099,0.2023558315605538,1.2269185231527744,2.471674e6,0.06626684920078912,0.5700797256648998,0.09523210461808373,Inf,0.0,0.0,0.0,Inf,Inf,0.0,0.0
2025-11-07T20:00:00.0,1 hour,12.1,1.54,100.58,0.88,0.0,400.0,1.247098522414499,1.417157411834658,0.1700588894201589,1.2283310092163888,2.4723835e6,0.06625441983622067,0.5704307136483251,0.09359357178482908,Inf,0.0,0.0,0.0,Inf,Inf,0.0,0.0
2025-11-07T21:00:00.0,1 hour,11.1,0.96,100.57000000000001,0.92,0.0,400.0,1.2203749338827223,1.3264944933507852,0.10611955946806284,1.2325297600220744,2.4747485e6,0.06618452268241046,0.5689536100765732,0.0883045499052093,Inf,0.0,0.0,0.0,Inf,Inf,0.0,0.0
